City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,flying fish cove,-10.4217,105.6791,25.82,94,100,5.14,CX,1718063597
151,piti village,13.4626,144.6933,30.17,87,75,5.14,GU,1718063597
152,kijang,35.2442,129.2139,21.85,64,34,2.32,KR,1718063597
153,igarka,67.4667,86.5833,11.72,74,93,2.29,RU,1718063597
154,wladyslawowo,54.7909,18.4009,11.08,79,71,3.55,PL,1718063597
155,isafjordur,66.0755,-23.124,4.52,81,95,1.44,IS,1718063597
156,odacho-oda,35.1833,132.5,24.43,65,15,2.68,JP,1718063597
157,hammerfest,70.6634,23.6821,10.25,81,20,4.12,NO,1718063597
158,rabo de peixe,37.8,-25.5833,17.77,99,75,1.54,PT,1718063597
159,la sarre,48.8002,-79.1996,10.55,59,0,4.12,CA,1718063519
160,mar del plata,-38.0023,-57.5575,11.16,94,65,1.03,AR,1718063597
161,saipan,15.1355,145.701,29.39,79,75,4.12,MP,1718063597
162,taco pozo,-25.6167,-63.2833,19.65,66,4,2.06,AR,1718063597
163,kaeng khro,16.1086,102.2581,24.82,90,100,3.55,TH,1718063597
164,lihue,21.9789,-159.3672,29.58,65,20,6.69,US,1718063597
165,talnakh,69.4865,88.3972,6.23,80,44,4.08,RU,1718063597
166,karratha,-20.7377,116.8463,20.51,50,0,2.56,AU,1718063597
167,east london,-33.0153,27.9116,15.96,49,0,3.92,ZA,1718063597
168,kalmunai,7.4167,81.8167,26.8,78,100,2.84,LK,1718063597
169,yuzhno-kurilsk,44.0306,145.8556,11.32,93,100,1.44,RU,1718063597
170,happy valley-goose bay,53.3168,-60.3315,17.17,67,75,6.17,CA,1718063597
171,rundu,-17.9333,19.7667,11.06,53,17,2.87,NA,1718063598
172,kununurra,-15.7667,128.7333,19.99,64,77,1.54,AU,1718063598
173,abalak,58.1286,68.5944,12.97,86,82,1.42,RU,1718063598
174,placido de castro,-10.3353,-67.1856,27.81,60,97,1.18,BR,1718063598
175,akureyri,65.6835,-18.0878,4.96,87,0,3.09,IS,1718063598
176,saint-denis,48.9167,2.3333,11.73,77,0,2.06,FR,1718063598
177,boyolangu,-8.1181,111.8935,24.79,93,79,0.89,ID,1718063598
